Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-02-02,1,12000,1219,Ground out of 4,Carpet Area,Howrah,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
2023-08-27,1,65500,1031,2 out of 6,Carpet Area,Navi Mumbai,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-15,3,44500,1189,7 out of 10,Super Area,Whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2022-03-22,2,80000,1384,Ground out of 4,Carpet Area,Navi Mumbai,Mumbai,Unfurnished,Bachelors,2,Contact Builder
2022-03-23,2,23000,1044,4 out of 7,Carpet Area,Gachibowli,Hyderabad,Semi-Furnished,Family,3,Contact Agent
2023-12-01,4,64500,1200,4 out of 10,Super Area,Saket,Delhi,Furnished,Bachelors,4,Contact Owner
2023-12-03,1,11000,1142,4 out of 6,Super Area,Dum Dum,Kolkata,Furnished,Bachelors,2,Contact Owner
2024-01-06,3,39500,742,6 out of 11,Super Area,Whitefield,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-09-27,2,33500,836,4 out of 9,Super Area,Whitefield,Bangalore,Semi-Furnished,Family,2,Contact Agent
2022-06-06,3,13500,1037,4 out of 5,Super Area,Park Street,Kolkata,Semi-Furnished,Bachelors/Family,4,Contact Builder
2022-01-12,2,16000,1629,1 out of 6,Built Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-01-04,3,14000,1330,2 out of 6,Super Area,New Town,Kolkata,Unfurnished,Bachelors,4,Contact Agent
2023-06-04,4,17000,1266,1 out of 7,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors,4,Contact Agent
2022-01-20,2,17500,833,3 out of 7,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors,2,Contact Agent
2024-02-24,4,113000,1079,5 out of 10,Super Area,Thane,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2023-12-08,1,29000,801,7 out of 13,Carpet Area,Saket,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
2022-12-13,3,43000,1206,1 out of 2,Super Area,Rohini,Delhi,Unfurnished,Bachelors,3,Contact Owner
2022-03-14,3,92500,1315,6 out of 9,Super Area,Andheri East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2023-02-21,2,20500,1254,2 out of 6,Carpet Area,Madhapur,Hyderabad,Semi-Furnished,Bachelors,3,Contact Agent
2022-12-14,1,22000,598,Ground out of 6,Carpet Area,Rohini,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-04-11,2,78500,1174,2 out of 7,Super Area,Andheri East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-08-07,3,77000,1081,2 out of 6,Carpet Area,Powai,Mumbai,Unfurnished,Family,4,Contact Builder
2024-01-19,4,24500,1006,1 out of 7,Carpet Area,Nungambakkam,Chennai,Semi-Furnished,Family,3,Contact Owner
2022-02-28,3,32000,1167,Ground out of 3,Carpet Area,Madhapur,Hyderabad,Furnished,Bachelors/Family,3,Contact Builder
2023-11-23,3,69500,1195,Ground out of 1,Super Area,Powai,Mumbai,Unfurnished,Bachelors,4,Contact Owner
2022-07-29,2,46500,1180,1 out of 4,Super Area,Janakpuri,Delhi,Furnished,Bachelors,3,Contact Agent
2023-04-15,3,19000,1106,7 out of 8,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
2022-10-19,5,61000,1869,6 out of 9,Built Area,Gachibowli,Hyderabad,Furnished,Bachelors/Family,4,Contact Owner
2022-11-03,2,34000,855,4 out of 9,Carpet Area,Dwarka,Delhi,Semi-Furnished,Bachelors,3,Contact Builder
2022-12-18,1,13500,1169,3 out of 9,Super Area,New Town,Kolkata,Furnished,Family,1,Contact Agent
2022-01-04,3,49000,1075,5 out of 6,Super Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Builder
2022-06-02,3,32500,928,Ground out of 6,Carpet Area,Koramangala,Bangalore,Unfurnished,Bachelors/Family,4,Contact Owner
2023-01-02,1,24000,1321,8 out of 9,Super Area,Kukatpally,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-16,3,65000,1189,7 out of 9,Super Area,Lajpat Nagar,Delhi,Furnished,Bachelors,4,Contact Builder
2022-04-21,4,69000,1431,1 out of 7,Super Area,Saket,Delhi,Furnished,Family,3,Contact Agent
2022-07-17,4,45000,1595,1 out of 7,Super Area,Anna Nagar,Chennai,Furnished,Family,4,Contact Agent
2022-09-25,2,24500,1228,7 out of 8,Super Area,Perambur,Chennai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-04-29,3,34000,476,3 out of 8,Carpet Area,Karol Bagh,Delhi,Furnished,Bachelors,3,Contact Owner
2023-11-12,4,40000,1507,2 out of 3,Built Area,Anna Nagar,Chennai,Furnished,Bachelors,3,Contact Owner
2022-10-30,3,38000,1287,1 out of 7,Super Area,BTM Layout,Bangalore,Unfurnished,Bachelors,4,Contact Owner
2022-01-01,1,17000,1001,1 out of 6,Super Area,Madhapur,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-23,2,42500,1583,3 out of 9,Super Area,Whitefield,Bangalore,Unfurnished,Bachelors,2,Contact Owner
2022-07-23,1,8500,827,4 out of 6,Built Area,Salt Lake,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2023-05-22,1,34000,1226,4 out of 8,Super Area,Saket,Delhi,Unfurnished,Bachelors,1,Contact Agent
2023-06-15,2,21000,1070,1 out of 7,Carpet Area,Mylapore,Chennai,Semi-Furnished,Family,3,Contact Builder
2023-09-20,1,18000,1151,7 out of 11,Super Area,Perambur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2023-10-15,4,17000,1219,2 out of 4,Carpet Area,Ballygunge,Kolkata,Unfurnished,Bachelors,4,Contact Builder
2023-07-08,3,41000,1142,1 out of 4,Carpet Area,Whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-03-05,1,57000,944,3 out of 7,Super Area,Malad,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-11-02,3,46000,1211,2 out of 5,Carpet Area,Karol Bagh,Delhi,Unfurnished,Bachelors,3,Contact Agent
2023-05-13,4,26000,1027,1 out of 5,Carpet Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors,4,Contact Agent
2022-01-28,2,63500,904,9 out of 14,Super Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-08-05,3,32000,1308,1 out of 4,Super Area,T Nagar,Chennai,Furnished,Bachelors,4,Contact Owner
2022-02-23,2,32000,1843,Ground out of 5,Carpet Area,Nungambakkam,Chennai,Furnished,Family,2,Contact Owner
2022-06-06,2,38000,1217,5 out of 10,Built Area,Whitefield,Bangalore,Unfurnished,Bachelors,1,Contact Agent
2024-02-05,1,20000,432,1 out of 6,Super Area,Hauz Khas,Delhi,Furnished,Family,2,Contact Agent
2023-02-11,1,11500,1088,6 out of 10,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2023-08-03,2,14000,1132,4 out of 5,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,3,Contact Owner
2023-03-20,2,66500,981,5 out of 6,Super Area,Borivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2024-03-04,3,62000,1602,3 out of 8,Built Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
2024-02-08,2,24500,1493,6 out of 8,Built Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-12-15,3,30500,1808,2 out of 5,Super Area,Anna Nagar,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Builder
2023-07-23,4,72000,1556,4 out of 8,Super Area,Whitefield,Bangalore,Unfurnished,Bachelors,5,Contact Agent
2023-11-11,3,42000,932,4 out of 7,Super Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-09-15,2,23000,1220,2 out of 5,Super Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-10-11,1,23500,535,1 out of 5,Carpet Area,Saket,Delhi,Furnished,Bachelors,1,Contact Builder
2023-12-27,3,15000,991,1 out of 2,Super Area,New Town,Kolkata,Semi-Furnished,Family,4,Contact Builder
2022-01-13,1,15500,784,4 out of 5,Super Area,Kukatpally,Hyderabad,Unfurnished,Bachelors,1,Contact Agent
2023-02-15,2,19000,947,Ground out of 1,Built Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-07-26,1,19000,1380,10 out of 11,Built Area,Adyar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Builder
2022-03-03,3,36000,1432,1 out of 6,Super Area,Mylapore,Chennai,Furnished,Bachelors,4,Contact Agent
2022-03-18,5,30000,1051,1 out of 6,Carpet Area,HITEC City,Hyderabad,Unfurnished,Bachelors/Family,4,Contact Owner
2022-03-14,1,35000,1042,4 out of 8,Super Area,Vasant Kunj,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-10-26,2,8500,818,Ground out of 2,Built Area,Ballygunge,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2023-12-07,4,77500,1476,2 out of 6,Carpet Area,Vasant Kunj,Delhi,Furnished,Bachelors/Family,3,Contact Owner
2022-09-14,3,54000,1335,4 out of 9,Super Area,BTM Layout,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-02-11,1,43000,699,5 out of 10,Built Area,Kurla,Mumbai,Unfurnished,Bachelors,2,Contact Builder
2022-12-23,2,41500,1172,8 out of 12,Super Area,Pitampura,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Builder
2022-02-07,2,35000,1837,5 out of 10,Super Area,Mylapore,Chennai,Furnished,Bachelors/Family,3,Contact Owner
2023-04-19,1,16000,738,4 out of 9,Super Area,T Nagar,Chennai,Furnished,Family,1,Contact Owner
2022-10-22,1,15000,808,1 out of 3,Carpet Area,Anna Nagar,Chennai,Semi-Furnished,Bachelors,2,Contact Agent
2023-07-20,4,43000,1850,1 out of 2,Super Area,Velachery,Chennai,Furnished,Family,4,Contact Agent
2023-03-02,1,21500,1428,3 out of 6,Super Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Builder
2024-03-02,5,54000,1863,6 out of 9,Carpet Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Owner
2023-07-06,2,23500,1161,6 out of 10,Carpet Area,Nungambakkam,Chennai,Furnished,Bachelors/Family,3,Contact Agent
2024-03-05,2,16500,955,3 out of 5,Carpet Area,Anna Nagar,Chennai,Unfurnished,Bachelors/Family,3,Contact Builder
2022-05-10,1,18000,1095,2 out of 3,Built Area,Velachery,Chennai,Semi-Furnished,Family,2,Contact Owner
2023-02-24,5,41000,1635,Ground out of 2,Super Area,Jubilee Hills,Hyderabad,Unfurnished,Family,5,Contact Owner
2023-11-22,5,26500,1553,Ground out of 3,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Family,4,Contact Owner
2023-12-02,2,26000,1107,Ground out of 6,Super Area,Madhapur,Hyderabad,Semi-Furnished,Family,2,Contact Agent
2022-11-03,5,82500,1687,2 out of 8,Carpet Area,HSR Layout,Bangalore,Furnished,Family,6,Contact Agent
2022-06-24,1,50500,602,4 out of 6,Super Area,Dadar,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2022-09-19,1,31500,907,3 out of 7,Super Area,Pitampura,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Builder
2023-10-17,1,10500,1211,9 out of 12,Super Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2023-08-12,3,19500,1089,2 out of 5,Super Area,Anna Nagar,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner
2023-05-24,5,85000,1366,6 out of 12,Super Area,Koramangala,Bangalore,Furnished,Family,5,Contact Owner
2023-10-24,3,46500,1324,3 out of 9,Carpet Area,Indiranagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-25,2,87000,1033,4 out of 6,Built Area,Malad,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2024-02-04,3,46500,962,8 out of 11,Super Area,Pitampura,Delhi,Semi-Furnished,Family,3,Contact Builder
2023-01-10,3,43000,1277,8 out of 13,Carpet Area,BTM Layout,Bangalore,Unfurnished,Bachelors/Family,3,Contact Builder
2023-01-16,3,110500,1199,3 out of 9,Carpet Area,Juhu,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2023-04-21,3,125500,1380,3 out of 9,Built Area,Worli,Mumbai,Furnished,Family,3,Contact Agent
2022-05-19,2,10500,776,Ground out of 5,Built Area,Park Street,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-04-12,2,23500,1404,6 out of 12,Carpet Area,Velachery,Chennai,Unfurnished,Bachelors,3,Contact Agent
2023-01-12,3,43500,1524,Ground out of 6,Built Area,Perambur,Chennai,Furnished,Bachelors/Family,3,Contact Owner
2023-11-10,4,44500,1606,5 out of 6,Super Area,Kukatpally,Hyderabad,Semi-Furnished,Bachelors/Family,5,Contact Owner
2022-08-01,3,53500,1477,Ground out of 5,Built Area,Saket,Delhi,Unfurnished,Bachelors/Family,4,Contact Owner
2023-07-08,2,28000,1092,9 out of 11,Super Area,Kukatpally,Hyderabad,Furnished,Bachelors/Family,1,Contact Builder
2022-06-28,3,45000,1028,3 out of 4,Carpet Area,Whitefield,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-04-08,1,29000,874,3 out of 4,Super Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-03-04,2,32000,1907,3 out of 4,Super Area,Jubilee Hills,Hyderabad,Furnished,Bachelors,3,Contact Builder
2022-03-09,3,27000,1579,1 out of 3,Super Area,Adyar,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Builder
2023-03-17,2,40000,957,2 out of 7,Carpet Area,Vasant Kunj,Delhi,Semi-Furnished,Bachelors,3,Contact Owner
2023-02-28,3,75500,1126,2 out of 4,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2023-05-01,3,47500,1045,7 out of 13,Carpet Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-07-30,1,50000,687,Ground out of 5,Carpet Area,Navi Mumbai,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-11-16,3,49000,1273,8 out of 13,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
2023-08-11,1,47500,1663,Ground out of 3,Super Area,Jayanagar,Bangalore,Furnished,Bachelors,2,Contact Owner
2023-12-12,3,31000,642,3 out of 9,Carpet Area,Dwarka,Delhi,Unfurnished,Family,4,Contact Agent
2022-03-13,1,28500,821,3 out of 7,Super Area,Indiranagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
